Name,Position,Province
Henry Braddon,Fullback,Otago
George Helmore,Utility back,Canterbury
Thomas Ryan,Three quarter,Auckland
Joe Warbrick,Three quarter,Auckland
Edwin Davy,Half-back,Wellington
John Dumbell,"Utility Back , Forward",Wellington
Henry Roberts,Half-back,Wellington
Jack Taiaroa,Half-back,Otago
James Allan,Forward,Otago
George Carter,Forward,Auckland
John Lecky,Forward,Auckland
Edward Millton,Forward,Canterbury
William Millton,Forward,Canterbury
Timothy O'Connor,Forward,Auckland
James ODonnell,Forward,Otago
George Robertson,Forward,Otago
Hart Udy,Forward,Wellington
Peter Webb,Forward,Wellington
Robert Wilson,Forward,Canterbury
