Rank,Athlete,Nationality,Time
1,Fred Norris,England,42:44.8
2,Frank Sando,England,42:52.4
3,Salah Beddiaf,France,43:01.4
4,Basil Heatley,England,43:10.4
5,Stanley Eldon,England,43:10.8
6,Alain Mimoun,France,43:15.4
7,Antonio Amoros,Spain,43:18
8,Rhadi Ben Abdesselam,France,43:20.6
9,Marcel Vandewattyne,Belgium,43:25.6
10,Henri Clerckx,Belgium,43:46.8
11,Bakir Benaissa,Morocco,43:50.8
12,Carlos Pérez,Spain,43:53.8
13,Alan Perkins,England,43:57.4
14,Abdallah Ould Lamine,France,44:02.8
15,Michael Maynard,England,44:09.4
16,Luis García,Spain,44:13.8
17,Hamoud Ameur,France,44:17.8
18,Mohamed Said,Morocco,44:18.8
19,Aurèle Vandendriessche,Belgium,44:27.4
20,Alastair Wood,Scotland,44:28
