Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Mike Busch,QB,South Dakota State,NCC
Atlanta Falcons,Jamie Dukes,C,Florida State,Ind
Atlanta Falcons,Aubrey Matthews,WR,Delta State,Gulf South
Atlanta Falcons,Ron Middleton,TE,Duke,ACC
Atlanta Falcons,Robert Moore,S,Northwestern State,Gulf Star
Chicago Bears,Mike Dwyer,DT,UMass,Yankee
Dallas Cowboys,Ron Heller,TE,Oregon State,Pac-10
Dallas Cowboys,Manny Hendrix,CB,Utah,WAC
Detroit Lions,Paul Butcher,LB,Wayne State,GLIAC
Houston Oilers,Eric Fairs,LB,Memphis,Ind . ( I-A )
Kansas City Chiefs,Tim Cofield,DE,Elizabeth City State,CIAA
Kansas City Chiefs,J.C. Pearson,S,Washington,Pac-10
Los Angeles Rams,Alvin Wright,DT,Jacksonville State,Gulf South
Miami Dolphins,Warren Loving,RB,William Penn,IIAC
New Orleans Saints,James Campen,C,Tulane,Ind
New York Giants,Damian Johnson,G,Kansas State,Big Eight
Seattle Seahawks,Darryl Pollard,CB,Weber State,Big Sky
Seattle Seahawks,Sean Salisbury,QB,USC,Pac-10
Washington Redskins,Todd Bowles,S,Temple,Ind
Washington Redskins,Robert Williams,WR,Baylor,SWC
