Team,Stadium,Capacity,City/Area
Bath,Bath,"8,200","Bath , Somerset"
Bristol,Memorial Stadium,"12,100","Bristol , Avon"
Gloucester,Kingsholm,"11,000","Gloucester , Gloucestershire"
Harlequins,The Stoop,"8,500","Twickenham , London"
Leicester Tigers,Welford Road,"16,000","Leicester , Leicestershire"
Liverpool St Helens,Moss Lane,,"St Helens , Merseyside"
Moseley,The Reddings,"10,000 ( est )","Birmingham , West Midlands"
Nottingham,Ireland Avenue,"4,950","Beeston , Nottinghamshire"
Orrell,Edge Hall Road,"3,000","Orrell , Greater Manchester"
Rosslyn Park,The Rock,"2,000","Roehampton , London"
Wasps,Repton Avenue,,"Sudbury , London"
Waterloo,St Anthony 's Road,"9,000","Blundellsands , Merseyside"
