Pos,No,Driver,Constructor,Time,Gap
1,8,Stefano Modena,Brabham - Judd,1:26.957,
2,21,Alex Caffi,Dallara - Ford,1:27.098,+0.141
3,32,Pierre-Henri Raphanel,Coloni - Ford,1:27.590,+0.633
4,7,Martin Brundle,Brabham - Judd,1:27.774,+0.817
5,18,Piercarlo Ghinzani,Osella - Ford,1:27.795,+0.838
6,36,Stefan Johansson,Onyx - Ford,1.27.821,+0.864
7,17,Nicola Larini,Osella - Ford,1:28.555,+1.598
8,34,Bernd Schneider,Zakspeed - Yamaha,1:28.610,+1.653
9,37,Bertrand Gachot,Onyx - Ford,1:28.897,+1.940
10,33,Gregor Foitek,EuroBrun - Judd,1:29.423,+2.466
11,39,Volker Weidler,Rial - Ford,1:29.498,+2.541
12,35,Aguri Suzuki,Zakspeed - Yamaha,1:30.528,+2.571
13,41,Joachim Winkelhock,AGS - Ford,1:32.274,+4.317
