Region,Rnd,Host,Venue,City,State
East,1 & 2,Old Dominion University,Old Dominion University Fieldhouse,Norfolk,Virginia
East,1 & 2,University of Virginia,University Hall ( University of Virginia ),Charlottesville,Virginia
East,1 & 2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
East,1 & 2,University of Kansas,Allen Field House,Lawrence,Kansas
Mideast,1 & 2,University of Iowa,Carver-Hawkeye Arena,Iowa City,Iowa
Mideast,1 & 2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
Mideast,1 & 2,Vanderbilt University,Memorial Gymnasium ( Vanderbilt University ),Nashville,Tennessee
Mideast,1 & 2,Duke University,Cameron Indoor Stadium,Durham,North Carolina
Midwest,1 & 2,University of Georgia,Georgia Coliseum ( Stegeman Coliseum ),Athens,Georgia
Midwest,1 & 2,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
Midwest,1 & 2,Clemson University,Littlejohn Coliseum,Clemson,South Carolina
Midwest,1 & 2,Texas Tech University,Lubbock Municipal Coliseum,Lubbock,Texas
West,1 & 2,Pennsylvania State University,Recreation Building ( Rec Hall ),University Park,Pennsylvania
West,1 & 2,University of Colorado,CU Events Center ( Coors Events Center ),Boulder,Colorado
West,1 & 2,Stanford University,Maples Pavilion,Stanford,California
West,1 & 2,University of Alabama,Coleman Coliseum,Tuscaloosa,Alabama
