Pos,No,Driver,Constructor,Time,Gap
1,1,Mika Häkkinen,McLaren - Mercedes,1:14.111,-
2,2,David Coulthard,McLaren - Mercedes,1:14.285,+0.174
3,3,Michael Schumacher,Ferrari,1:14.508,+0.397
4,4,Rubens Barrichello,Ferrari,1:14.636,+0.525
5,11,Giancarlo Fisichella,Benetton - Playlife,1:15.375,+1.264
6,7,Eddie Irvine,Jaguar - Cosworth,1:15.425,+1.314
7,5,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:15.455,+1.344
8,23,Ricardo Zonta,BAR - Honda,1:15.484,+1.373
9,10,Jenson Button,Williams - BMW,1:15.490,+1.379
10,22,Jacques Villeneuve,BAR - Honda,1:15.515,+1.404
11,9,Ralf Schumacher,Williams - BMW,1:15.561,+1.450
12,6,Jarno Trulli,Jordan - Mugen-Honda,1:15.627,+1.516
13,12,Alexander Wurz,Benetton - Playlife,1:15.664,+1.553
14,19,Jos Verstappen,Arrows - Supertec,1:15.704,+1.593
15,14,Jean Alesi,Prost - Peugeot,1:15.715,+1.604
16,18,Pedro de la Rosa,Arrows - Supertec,1:16.002,+1.891
17,8,Johnny Herbert,Jaguar - Cosworth,1:16.250,+2.139
18,20,Marc Gené,Minardi - Fondmetal,1:16.380,+2.269
19,15,Nick Heidfeld,Prost - Peugeot,1:17.112,+3.001
20*,16,Pedro Diniz,Sauber - Petronas,1:17.178,+3.067
