Rnd,Pick #,XFL team,Player,Pos,College
1,1,Los Angeles Xtreme,Scott Milanovich,QB,Maryland
1,2,Birmingham Thunderbolts,Casey Weldon,QB,Florida State
1,3,Memphis Maniax,Marcus Crandell,QB,East Carolina
1,4,Orlando Rage,Jeff Brohm,QB,Louisville
1,5,Las Vegas Outlaws,Chuck Clements,QB,Houston
1,6,San Francisco Demons,Vaughn Dunbar,RB,Indiana
1,7,New York/New Jersey Hitmen,Charles Puleri,QB,New Mexico State
1,8,Chicago Enforcers,John Avery,RB,Ole Miss
2,9,Chicago Enforcers,Paul Failla,QB,Indiana ( PA )
2,10,New York/New Jersey Hitmen,Jermaine Smith,DT,Georgia
2,11,San Francisco Demons,Scott Adams,OT,Georgia
2,12,Las Vegas Outlaws,Antonio Edwards,DE,Valdosta
2,13,Orlando Rage,Dan Collins,G,Boston College
2,14,Memphis Maniax,Darick Holmes,RB,Portland State
2,15,Birmingham Thunderbolts,"Lies , Michael Michael Lies",G,Kansas
2,16,Los Angeles Xtreme,Steve Russ,LB,Air Force
3,17,Los Angeles Xtreme,"West , Derek Derek West",OT,Colorado
3,18,Birmingham Thunderbolts,Henry Taylor,DT,South Carolina
3,19,Memphis Maniax,Mike Sheldon,OT,Grand Valley State
3,20,Orlando Rage,Jonathan Brown,DE,Tennessee
