Round,Pick,Player,Recruited from,Club
1,1,Brendon Goddard,Gippsland Power,St Kilda
1,2,Daniel Wells,Peel Thunder,Kangaroos
1,3,Jared Brennan,Southern Districts,Brisbane Lions
1,4,Tim Walsh,Northern Knights,Western Bulldogs
1,5,Jarrad McVeigh,NSW/ACT Rams,Sydney Swans
1,6,Steven Salopek,Dandenong Stingrays,Port Adelaide
1,7,Andrew Mackie,Glenelg,Geelong
1,8,Luke Brennan,North Ballarat Rebels,Hawthorn
1,9,Hamish McIntosh,Murray Bushrangers,Kangaroos
1,10,Jason Laycock,Tassie Mariners,Essendon
1,11,Jason Winderlich,Gippsland Power,Essendon
1,12,Jay Schulz,Woodville-West Torrens,Richmond
1,13,Byron Schammer,West Adelaide,Fremantle
1,14,Daniel Bell,Glenelg,Melbourne
1,15,Nicholas Smith,Norwood,Melbourne
2,16,Stephen Gilham,Oakleigh Chargers,Port Adelaide
2,17,Cameron Faulkner,Central District,Western Bulldogs
2,18,Kris Shore,Eastern Ranges,Kangaroos
2,19,Troy Selwood,Bendigo Pioneers,Brisbane Lions
2,20,Will Minson,Norwood,Western Bulldogs
