Pick #,MLS team,Player,Position,Affiliation
51,D.C. United,Michael Behonick,GK,American University
52,Dallas Burn,Andy Rosenband,F,Ohio State University
53,Kansas City Wizards,Kevin Friedland,D,Southern Methodist University
54,Chicago Fire,Ryan Futagaki,M,UCLA
55,Los Angeles Galaxy,Joe Barton,GK,Cal State-Northridge
56,San Jose Earthquakes,Frank Sanfilippo,M,San Jose State University
57,New England Revolution,PASS,,
58,Columbus Crew,Jake Traeger,M,Ohio State University
59,D.C. United,PASS,,
60,Kansas City Wizards,Byron Carmichael,F,Marshall University
