Player Name,Original club,New club,Traded for
Fergus Watts,Adelaide,St Kilda,draft pick # 17
Richard Cole,Collingwood,Essendon,draft pick # 23
Ted Richards,Essendon,Sydney Swans,draft picks # 19 & # 50
Jonathan Hay,Hawthorn,Kangaroos,draft pick # 18
Nathan Lonie,Hawthorn,Port Adelaide,draft pick # 14
Daniel Motlop,Kangaroos,Port Adelaide,draft picks # 28 & # 46
Byron Pickett and picks # 54 & # 62,Port Adelaide,Melbourne,"draft picks # 28 , # 44 & # 60"
Jason Saddington,Sydney Swans,Carlton,draft pick # 52
Mark Powell,Sydney Swans,Kangaroos,draft pick # 61
Daniel McConnell and pick # 18,West Coast Eagles,Kangaroos,draft picks # 13 & # 29
Jade Rawlings and pick # 43,Western Bulldogs,Kangaroos,draft picks # 46
Patrick Bowden,Western Bulldogs,Richmond,draft pick # 56
