Date,Event,Country,Winner
27 February,"Australia World Cup , Geelong",Australia,Rochelle Gilmore ( AUS )
6 March,New Zealand World Cup,New Zealand,Suzanne De Goede ( NED )
19 March,Primavera Rosa,Italy,Trixi Worrack ( GER )
3 April,Tour of Flanders for Women,Belgium,Mirjam Melchers ( NED )
20 April,La Flèche Wallonne Féminine,Belgium,Nicole Cooke ( GBR )
8 May,GP Castilla y León,Spain,Susanne Ljungskog ( SWE )
28 May,Coupe du Monde Cycliste Féminine de Montréal,Canada,Geneviève Jeanson ( CAN )
21 August,GP of Wales,United Kingdom,Judith Arndt ( GER )
27 August,GP de Plouay,France,Noemi Cantele ( ITA )
4 September,Lowland International Rotterdam Tour,Netherlands,Ina-Yoko Teutenberg ( GER )
11 September,Rund um die Nürnberger Altstadt,Germany,Giorgia Bronzini ( ITA )
