US,Single,Artist
4,Alcohol,Brad Paisley
8,All Jacked Up,Gretchen Wilson
1,Anything but Mine,Kenny Chesney
16,Arlington,Trace Adkins
1,As Good as I Once Was,Toby Keith
1,"Awful , Beautiful Life",Darryl Worley
2,Baby Girl,Sugarland
7,Best I Ever Had,Gary Allan
1,Better Life,Keith Urban
5,Big Blue Note,Toby Keith
20,Big Time,Big & Rich
10,Billy 's Got His Beer Goggles On,Neal McCoy
1,Bless the Broken Road,Rascal Flatts
16,Class Reunion ( That Used to Be Us ),Lonestar
1,Come a Little Closer,Dierks Bentley
5,Do You Want Fries with That,Tim McGraw
16,Do n't Ask Me How I Know,Bobby Pinson
7,Do n't Worry 'bout a Thing,SHeDAISY
14,Drugs or Jesus,Tim McGraw
1,Fast Cars and Freedom,Rascal Flatts
