Rank,Name,Nation,Total Points,SP,FS
1,Kristoffer Berntsson,Sweden,191.87,2,1
2,Adrian Schultheiss,Sweden,185.43,4,2
3,Chafik Besseghier,France,173.76,3,3
4,Alexei Bychenko,Ukraine,170.42,1,4
5,Paul-Emmanuel Richardeau,France,157.77,6,5
6,Tigran Vardanjan,Hungary,135.32,7,6
7,Philipp Tischendorf,Germany,131.29,5,9
8,Konstantin Tupikov,Poland,129.97,9,8
9,Mario-Rafael Ionian,Austria,128.85,10,7
10,Yuki Horniouchi,Japan,123.22,8,10
11,Zsolt Kosz,Romania,86.42,11,11
WD,Pavel Kaška,Czech Republic,,,
