Player,Position,Previous club
1 . Brett Hodgson,FB,Wests Tigers
2 . Martin Aspinwall,W,Wigan Warriors
3 . Kevin Brown,C,Wigan Warriors
4 . Paul Whatuira,C,Wests Tigers
5 . David Hodgson,W,Salford City Reds
6 . Liam Fulton,SO,Wests Tigers
7 . Luke Robinson,SH,Salford City Reds
8 . Eorl Crabtree,P,Huddersfield Giants
9 . David Faiumu,HK,North Queensland Cowboys
10 . Darrell Griffin,P,Wakefield Trinity Wildcats
11 . Jamahl Lolesi,SR,Wests Tigers
12 . Andy Raleigh,SR,Hull Kingston Rovers
13 . Stephen Wild,LF,Wigan Warriors
14 . Simon Finnigan,SR,Bradford Bulls
15 . Paul Jackson,P,Castleford Tigers
16 . Keith Mason,P,St. Helens
17 . Michael Korkidas,P,Castleford Tigers
18 . Danny Kirmond,SR,Featherstone Rovers
19 . Michael Lawrence,W,Huddersfield Giants
20 . Scott Moore,HK,St. Helens
