Rank,Team,Conference,Division,Wins,Losses
1,Cleveland Cavaliers,Eastern,Central,61,21
2,Orlando Magic,Eastern,Southeast,59,23
3,Los Angeles Lakers,Western,Pacific,57,25
4,Dallas Mavericks,Western,Southwest,55,27
5,Phoenix Suns,Western,Pacific,54,28
6,Denver Nuggets,Western,Northwest,53,29
7,Atlanta Hawks,Eastern,Southeast,53,29
8,Utah Jazz,Western,Northwest,53,29
9,Boston Celtics,Eastern,Atlantic,50,32
10,Portland Trail Blazers,Western,Northwest,50,32
11,San Antonio Spurs,Western,Southwest,50,32
12,Oklahoma City Thunder,Western,Northwest,50,32
13,Miami Heat,Eastern,Southeast,47,35
14,Milwaukee Bucks,Eastern,Central,46,36
15,Charlotte Bobcats,Eastern,Southeast,44,38
16,Chicago Bulls,Eastern,Central,41,41
