Club,Location,Stadium,Capacity
Academia UTM Chişinău,Chişinău,Dinamo Stadium ( Chişinău ),"2,888"
Costuleni,Costuleni,CSR Orhei,"2,539"
CSCA-Rapid Chişinău,Ghidighici,Ghidighici Stadium,"1,500"
Dacia Chişinău,Chişinău,Dinamo Stadium ( Chişinău ),"2,692"
Dinamo Bender,Bender,Dinamo Stadium ( Bender ),"5,061"
Iskra-Stal Rîbniţa,Rîbniţa,Orăşenesc Stadium,"2,000"
Gagauziya Comrat,Comrat,Suruceni Stadium,"2,000"
Milsami Orhei,Orhei,CSR Orhei,"2,539"
Nistru Otaci,Otaci,Călărăseuca Stadium,"2,000"
Olimpia Bălţi,Bălţi,Olimpia Bălţi Stadium,"5,953"
Sfîntul Gheorghe Suruceni,Suruceni,Suruceni Stadium,"2,000"
Sheriff Tiraspol,Tiraspol,Sheriff Stadium,"13,460"
FC Tiraspol,Tiraspol,Sheriff Stadium,"13,460"
Zimbru Chişinău,Chişinău,Zimbru Stadium,"10,600"
