School,Conference,Overall record,Conference record
Air Force,Mountain West,15-15,6-10
Buffalo,Mid-American,17-13,9-9
East Carolina,Conference USA,18-15,8-8
East Tennessee State,Atlantic Sun,22-11,16-4
Furman,Southern,20-9,12-6
Hawai ' i,Western Athletic,18-12,8-8
Idaho,Western Athletic,18-13,9-7
Iona,Metro Atlantic Athletic,22-11,13-5
Jacksonville,Atlantic Sun,19-11,13-7
Marshall,Conference USA,22-11,10-8
North Dakota,Great West,19-14,8-4
Northern Arizona,Big Sky,19-12,9-7
Northern Iowa,Missouri Valley,19-13,10-8
Ohio,Mid-American,18-15,10-8
Oral Roberts,Summit,19-15,13-5
Portland,West Coast,20-11,7-7
Quinnipiac,Northeast,22-9,13-5
Rider,Metro Atlantic Athletic,23-10,13-5
San Francisco,West Coast,17-14,11-4
Santa Clara,West Coast,19-14,8-6
