Date,Meeting,Category,Events,Venue,Country
19 February,Australian 20k Racewalking Championships,C,20 km ( Men/Women ),Hobart,Australia
5 March,IAAF Permit Chihuahua,C,20 km ( Men/Women ) 50 km ( Men ),Chihuahua City,Mexico
20 March,Gran Premio Citta di Lugano - Memorial Mario Albisetti,C,20 km ( Men/Women ),Lugano,Switzerland
26 March,Dudinska 50-ka,C,10 km ( Women ) 20 km ( Men ) 50 km ( Men ),Dudince,Slovakia
9 April,Grande Premio Internacional en Marcha Atletica,B,20 km ( Men/Women ),Rio Maior,Portugal
22 April,IAAF Permit Taicang,B,10 km ( Men/Women ),Taicang,China
1 May,Coppa Città di Sesto San Giovanni,B,20 km ( Men/Women ),Sesto San Giovanni,Italy
26 June,Dublin International Racewalking GP,C,20 km ( Men/Women ),Dublin,Ireland
27 August - 4 September,2011 World Championships in Athletics,A,20 km ( Men/Women ) 50 km ( Men ),Daegu,South Korea
17 September,IAAF Race Walking Challenge Final,B,10 km ( Men/Women ),A Coruña,Spain
