#,Name,Height,Weight ( lbs . ),Position,Class,Hometown,Previous School
1,Jarvis Ray,6 ' 6,195,G,So,"New Orleans , LA",O. Perry Walker HS
2,Connell Crossland,6 ' 7,190,F,Jr,"St. Louis , MO",Hazelwood Central HS / John A. Logan College
4,Amric Fields,6 ' 9,210,F,Fr,"Oklahoma City , OK",Putnam West HS
5,Kyan Anderson,5'11,175,G,Fr,"Fort Worth , TX",North Crowley HS
10,Hank Thorns,5 ' 9,165,G,Sr,"Las Vegas , NV",Las Vegas Valley HS/ Virginia Tech
11,Thomas Montigel,6 ' 2,190,G,So,"Fort Worth , TX",Paschal HS
13,Cheick Kone,6'10,235,C,Jr,"Bamako , MAL",Cornerstone Christian School/ Howard College
21,Nate Butler,6 ' 6,200,G,Jr,"Dorado , PR",M.E.C.A./ John A. Logan College
23,J. R. Cadot,6 ' 5,205,G,Sr,"Nassau , BAH",C.V. Bethel Senior HS/ Sheridan College
24,Adrick McKinney,6 ' 8,250,F,Jr,"Fort Worth , TX",Trimble Tech HS / Angelina College
31,Marin Bavcevic,6 ' 0,185,G,Sr,"Split , CRO",The Patterson School
33,Garlon Green,6 ' 7,210,F,Jr,"Missouri City , TX",Hightower HS
41,Craig Williams,6 ' 8,240,F,Sr,"Christiansted , USVI",Central HS / Temple
