Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Alianza Lima,José Soto,Juan Jayo,Nike,
Cienciano,Raul Arias,Julio Garcia,Aries,Movistar
Cobresol,Octavio Vidales,Gregorio Bernales,Loma 's,Universidad Alas Peruanas
Inti Gas,Edgar Ospina,Nick Montalva,Walon,Inti Gas
José Gálvez,Javier Arce,Marco Ruiz,Real,SIDERPERU /Megaplaza
Juan Aurich,Franco Navarro,Luis Guadalupe,Walon,Grupo Oviedo
León de Huánuco,Jean Ferrari,Carlos Zegarra,Walon,Roky 's
Melgar,Julio Zamora,Antonio Meza Cuadra,Marathon,
Real Garcilaso,Freddy García,Ramón Rodríguez,Walon,I-RUN
Sport Boys,Jorge Espejo,Jorge Huamán,Triathlon,Gobierno Regional del Callao
Sport Huancayo,Wilmar Valencia,Sergio Ibarra,Manchete,Caja Municipal de Huancayo
Sporting Cristal,Roberto Mosquera,Erick Delgado,Umbro,Cerveza Cristal / Volkswagen
Unión Comercio,Mario Viera,Héctor Sosa,Real,New Holland
Universidad César Vallejo,Víctor Rivera,Carlos Galván,Walon,Universidad César Vallejo
Universidad San Martín,Angel Cappa,Leao Butrón,Umbro,Herbalife
Universitario,Nolberto Solano,John Galliquio,Umbro,Radio Exitosa
