Date,Tournament,Location,Prize fund ( ¥ ),Winner,OWGR pts
17 Mar,Thailand Open,Thailand,"87,070,000",Prayad Marksaeng ( 4 ),18
31 Mar,Indonesia PGA Championship,Indonesia,"87,070,000",Choi Ho-sung ( 1 ),12
21 Apr,Token Homemate Cup,Mie,"130,000,000",Yoshinobu Tsukada ( 1 ),16
28 Apr,Tsuruya Open,Hyōgo,"120,000,000",Hideki Matsuyama ( 2 ),16
5 May,The Crowns,Aichi,"120,000,000",Michio Matsumura ( 3 ),16
19 May,Japan PGA Championship Nissin Cupnoodles Cup,Chiba,"150,000,000",Kim Hyung-sung ( 2 ),16
2 Jun,Diamond Cup Golf,Ibaraki,"120,000,000",Hideki Matsuyama ( 3 ),16
23 Jun,Japan Golf Tour Championship Shishido Hills,Ibaraki,"150,000,000",Satoshi Kodaira ( 1 ),18
30 Jun,Gateway to the Open Mizuno Open,Okayama,"110,000,000",Brendan Jones ( 13 ),16
7 Jul,Nagashima Shigeo Invitational Sega Sammy Cup,Hokkaidō,"150,000,000",Shunsuke Sonoda ( 2 ),16
25 Aug,Kansai Open Golf Championship,Hyōgo,"60,000,000",Brad Kennedy ( 2 ),16
1 Sep,Vana H Cup KBC Augusta,Fukuoka,"110,000,000",Park Sung-joon ( 1 ),16
8 Sep,Fujisankei Classic,Yamanashi,"110,000,000",Hideki Matsuyama ( 4 ),16
22 Sep,ANA Open,Hokkaidō,"110,000,000",Koumei Oda ( 6 ),16
29 Sep,Asia-Pacific Panasonic Open,Osaka,"150,000,000",Masahiro Kawamura ( 1 ),16
6 Oct,Coca-Cola Tokai Classic,Aichi,"120,000,000",Shingo Katayama ( 27 ),16
13 Oct,Toshin Golf Tournament,Gifu,"90,000,000",Yoshinori Fujimoto ( 2 ),16
20 Oct,Japan Open,Ibaraki,"200,000,000",Masanori Kobayashi ( 3 ),32
27 Oct,Bridgestone Open,Chiba,"150,000,000",Daisuke Maruyama ( 3 ),16
3 Nov,Mynavi ABC Championship,Hyōgo,"150,000,000",Yuta Ikeda ( 11 ),16
