Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Aktobe,Vladimir Nikitenko,Petr Badlo,adidas,-
Akzhayik,Ljupko Petrović,Ruslan Khairov,Puma,-
Astana,Ioan Andone,Kairat Nurdauletov,adidas,Qazaqstan Temir Zholy
Atyrau,Miodrag Radulović,Valentin Chureev,adidas,-
Irtysh,Talgat Baisufinov,Sergei Ivanov,adidas,ENRC
Kairat,Vladimír Weiss,Kyril Shestakov,Nike,KazRosGaz
Ordabasy,Vakhid Masudov,Kairat Ashirbekov,adidas,TAU
Shakhter,Viktor Kumykov,Andrey Finonchenko,Nike,-
Taraz,Arno Pijpers,Vitali Yevstigneyev,adidas,-
Tobol,Sergei Maslenov,Nurbol Zhumaskaliyev,adidas,-
Vostok,Vladimir Fomichyov,Roman Nesterenko,Umbro,-
Zhetysu,Omari Tetradze,Zahar Korobov,adidas,-
