Pick #,MLS team,Player,Position,Affiliation
1,New York Red Bulls,Ryan Clark,Midfielder,Monmouth
2,Chivas USA,Jose Diaz,Defender,Riverside Los Angeles Misioneros
3,Portland Timbers,David Meves,Goalkeeper,Akron Chicago Fire Premier
4,New England Revolution,Jossimar Sanchez,Defender,Connecticut Central Jersey Spartans
5,Seattle Sounders FC,Will Bates,Forward,Virginia Reading United AC
6,Los Angeles Galaxy,Andy Riemer,Midfielder,Georgetown Orange County Blue Star
7,FC Dallas,Cameron Brown,Midfielder,North Carolina
8,Montreal Impact,Hakan Ilhan,Forward,UNC Greensboro Carolina Dynamo
9,Columbus Crew,Reed Matte,Defender,UAB Portland Timbers U23s
10,Vancouver Whitecaps FC,Adam Mena,Midfielder,Notre Dame Indiana Invaders
11,Vancouver Whitecaps FC,Michael Rose,Midfielder,Notre Dame
12,Philadelphia Union,Eric Schoenle,Defender,West Virginia
13,New York Red Bulls,Michael Bustamante,Midfielder,Boston University Worcester Hydra
14,Sporting Kansas City,Christian Duke,Midfielder,San Diego
15,San Jose Earthquakes,Adam Jahn,Forward,Stanford
16,Seattle Sounders FC,Kevin Durr,Midfielder,Air Force
17,Philadelphia Union,Uriah Bentick,Defender,Liberty
18,Houston Dynamo,Anthony Arena,Defender,Wake Forest Seattle Sounders FC U-23
19,Chivas USA,Paul Islas,Forward,Fresno Pacific Fresno Fuego
