Pos,No,Driver,Team,Q1,Q2
1,5,Felix Rosenqvist,KFZ - Teile24 Mücke Motorsport,1:30.839,1:31.080
2,9,Harry Tincknell,Carlin,1:31.131,1:31.491
3,2,Alex Lynn,Prema Powerteam,1:31.154,1:31.630
4,4,Emil Bernstorff,Prema Powerteam,1:31.255,1:31.486
5,1,Lucas Auer,Prema Powerteam,1:31.256,1:31.488
6,19,Sven Müller,Ma-Con,1:31.363,1:32.191
7,14,Tom Blomqvist,EuroInternational,1:31.399,1:31.583
8,11,Nicholas Latifi,Carlin,1:31.404,1:31.645
9,10,Jordan King,Carlin,1:31.414,1:31.426
10,12,Jann Mardenborough,Carlin,1:31.572,1:32.209
11,3,Eddie Cheever III,Prema Powerteam,1:31.716,1:32.140
12,21,Dennis van de Laar,Van Amersfoort Racing,1:31.927,1:31.728
13,7,Michael Lewis,KFZ - Teile24 Mücke Motorsport,1:31.916,1:32.153
14,18,Luís Felipe Derani,Fortec Motorsports,1:31.964,1:32.036
15,24,Antonio Giovinazzi,Double R Racing,1:32.149,1:31.984
16,17,William Buller,Fortec Motorsports,1:32.091,1:32.011
17,16,Josh Hill,Fortec Motorsports,1:32.147,1:32.029
18,28,Richard Goddard,ThreeBond with T-Sport,1:32.279,1:33.795
19,8,Yuhi Sekiguchi,KFZ - Teile24 Mücke Motorsport,1:32.391,1:32.905
20,20,André Rudersdorf,Ma-Con,1:32.915,1:32.548
