No,Position,Player,Nation
3,Defender,Chris Albright,United States
6,Forward,Conor Casey,United States
7,Midfielder,Brian Carroll ( Captain ),United States
8,Defender,Matt Kassel,United States
9,Forward,Jack McInerney,United States
10,Midfielder,Roger Torres,Colombia
11,Forward,Sébastien Le Toux,France
12,Forward,Aaron Wheeler,United States
13,Midfielder,Michael Lahoud,United States
14,Midfielder,Amobi Okugo,United States
16,Defender,Don Anding,United States
17,Forward,Yann Ekra,Ivory Coast
18,Goalkeeper,Zac MacMath ( GA ),United States
19,Midfielder,"Kléberson ( DP , on loan from Bahia )",Brazil
21,Midfielder,Michael Farfan,United States
22,Midfielder,Leo Fernandes,United States
25,Defender,Sheanon Williams,United States
26,Midfielder,Keon Daniel,Trinidad and Tobago
28,Defender,Ray Gaddis,United States
29,Forward,Antoine Hoppenot,United States
