Player,Team,Position,Shots,Opponent
Mark Nichols,Manitoba,Lead,16,Nova Scotia
Ryan Harnden,Northern Ontario,Lead,14,Alberta
Brad Jacobs,Northern Ontario,Skip,14,Alberta
Ben Hebert,Alberta,Lead,10,Nova Scotia
Philippe Ménard,Quebec,Lead,16,British Columbia
Craig Savill,Ontario,Lead,14,Newfoundland and Labrador
Brent Laing,Ontario,Second,14,Newfoundland and Labrador
Marc Kennedy,Alberta,Second,14,Prince Edward Island
Mark Nichols,Manitoba,Lead,18,Northern Ontario
Ryan Harnden,Northern Ontario,Lead,17,Manitoba
