No,Pos,Player,Transferred From,Fee/Notes,Date
1,GK,Ashlyn Harris,FCR 2001 Duisburg,NWSL Player Allocation,"January 11 , 2013"
11,DF,Ali Krieger,1 . FFC Frankfurt,NWSL Player Allocation,"January 11 , 2013"
6,MF,Lori Lindsey,Western New York Flash,NWSL Player Allocation,"January 11 , 2013"
15,DF,Robyn Gayle,Vancouver Whitecaps WFC,NWSL Player Allocation,"January 11 , 2013"
8,MF,Diana Matheson,LSK Kvinner,NWSL Player Allocation,"January 11 , 2013"
,DF,Alina Garciamendez,Stanford Cardinal,NWSL Player Allocation,"January 11 , 2013"
7,MF,Teresa Lupita Worbis,Unknown,NWSL Player Allocation,"January 11 , 2013"
14,FW,Tiffany McCarty,Florida State Seminoles,Selected in the 2013 NWSL College Draft,"January 18 , 2013"
10,FW,Caroline Miller,Virginia Cavaliers,Selected in the 2013 NWSL College Draft,"January 18 , 2013"
20,MF,Holly King,Florida Gators,Selected in the 2013 NWSL College Draft,"January 18 , 2013"
2,MF,Colleen Williams,Dayton Flyers,Selected in the 2013 NWSL College Draft,"January 18 , 2013"
,MF,Ingrid Wells,Kopparbergs/Göteborg FC,Signed,"February 6 , 2013"
18,GK,Chantel Jones,Þór Akureyri,Signed,"February 6 , 2013"
22,FW,Stephanie Ochs,University of San Diego,2013 NWSL Supplemental Draft,"February 7 , 2013"
23,MF,Tori Huster,Florida State Seminoles,2013 NWSL Supplemental Draft,"February 7 , 2013"
3,DF,Kika Toulouse,Rågsveds IF,Signed,"February 12 , 2013"
,DF,Domenica Hodak,Maryland Terrapins,Discovery Player,"March 9 , 2013"
24,FW,Jasmyne Spencer,Brøndby IF,Signed,"April 9 , 2013"
19,DF,Toni Pressley,Ryazan VDV,Signed,"June 3 , 2013"
17,FW,Lindsay Taylor,Seattle Reign FC,Traded for a 2014 NWSL College Draft second round pick,"July 1 , 2013"
