Rank,Amusement park,Location,2013 Attendance
1,Magic Kingdom at Walt Disney World Resort,"Lake Buena Vista , Florida , US","18,588,000"
2,Tokyo Disneyland,"Tokyo , Japan","17,214,000"
3,Disneyland at Disneyland Resort,"Anaheim , California , US","16,202,000"
4,Tokyo DisneySea,"Tokyo , Japan","14,084,000"
5,Epcot at Walt Disney World Resort,"Lake Buena Vista , Florida , US","11,229,000"
6,Disneyland Park at Disneyland Paris,"Marne-la-Vallée , France","10,430,000"
7,Disney 's Animal Kingdom at Walt Disney World Resort,"Lake Buena Vista , Florida , US","10,198,000"
8,Disney 's Hollywood Studios at Walt Disney World Resort,"Lake Buena Vista , Florida , US","10,110,000"
9,Universal Studios Japan,"Osaka , Japan","10,100,000"
10,Disney California Adventure at Disneyland Resort,"Anaheim , California , US","8,514,000"
11,Islands of Adventure at Universal Orlando Resort,"Orlando , Florida , US","8,141,000"
12,Ocean Park Hong Kong,"Hong Kong , China","7,475,000"
13,Hong Kong Disneyland,"Hong Kong , China","7,400,000"
14,Lotte World,"Seoul , South Korea","7,400,000"
13,Everland,"Yongin , Gyeonggi-Do , South Korea","7,303,000"
16,Universal Studios Florida at Universal Orlando Resort,"Orlando , Florida , US","7,062,000"
17,Universal Studios Hollywood,"Universal City , California , US","6,148,000"
18,Nagashima Spa Land,"Kuwana , Japan","5,840,000"
19,SeaWorld Orlando,"Orlando , Florida , US","5,090,000"
20,Europa-Park,"Rust , Germany","4,900,000"
