Name,Position,Signed from,Date
Gareth Carvell,Prop,Warrington Wolves,June 2013
Dale Ferguson,Second Row,Huddersfield Giants,July 2013
Luke George,Wing,Huddersfield Giants,July 2013
Matty Blythe,Centre,Warrington Wolves,August 2013
Lee Gaskell,Stand Off,St Helens R.F.C,August 2013
Adam Henry,Centre,Sydney Roosters,October 2013
Frank Winterstein,Prop,Widnes Vikings,October 2013
Danny Bridge,Prop,Warrington Wolves ( Loan ),February 2014
Anthony Mullally,Prop,Huddersfield Giants ( Loan ),February 2014
Liam Sutcliffe,Stand Off,Leeds Rhinos ( Loan ),March 2014
Greg Burke,Prop,Wigan Warriors ( Loan ),March 2014
Jamal Fakir,Prop,Catalans Dragons,April 2014
Jay Pitts,Second Row,Hull F.C . ( Loan ),April 2014
Joe Arundel,Centre,Hull F.C . ( Loan ),April 2014
Antonio Kaufusi,Prop,Huddersfield Giants ( Loan ),May 2014
Jordan Baldwinson,Loose Forward,Leeds Rhinos ( Loan ),May 2014
Mason Tonks,Prop,Leeds Rhinos ( Loan ),May 2014
