No,Pos,Player,Date of birth ( age ),Union / Club
1,BK,Henry Hutchison,"( 1997-02-12 ) February 12 , 1997 ( aged 21 )",Randwick
2,BK,Liam McNamara,"( 1997-02-09 ) February 9 , 1997 ( aged 21 )",Sunnybank
3,FW,Sam Myers,"( 1990-05-25 ) May 25 , 1990 ( aged 28 )",Norths
4,BK,Lewis Holland ( c ),"( 1993-01-14 ) January 14 , 1993 ( aged 25 )",Queanbeyan
5,BK,Ben O'Donnell,"( 1995-08-14 ) August 14 , 1995 ( aged 22 )",Randwick
6,BK,John Porch,"( 1994-03-04 ) March 4 , 1994 ( aged 24 )",Norths
7,BK,Brandon Quinn,"( 1994-01-28 ) January 28 , 1994 ( aged 24 )",Gordon
8,FW,Jesse Parahi,"( 1989-07-29 ) July 29 , 1989 ( aged 28 )",Norths
9,FW,Boyd Killingworth,"( 1992-04-06 ) April 6 , 1992 ( aged 26 )",Warringah
10,BK,Tom Lucas,"( 1993-11-23 ) November 23 , 1993 ( aged 24 )",Sunnybank
11,BK,Maurice Longbottom,"( 1995-01-20 ) January 20 , 1995 ( aged 23 )",LMRDT
12,FW,Lachlan Anderson,"( 1997-08-27 ) August 27 , 1997 ( aged 20 )",Eastwood
13,FW,Tim Anstee,"( 1997-05-19 ) May 19 , 1997 ( aged 21 )",Eastwood
