Province,Skip,Third,Second,Lead,Locale
Alberta,Scott Garnett,Jason Wilson,Brennen Fule,Cory Campbell,"Strathmore CC , Strathmore"
British Columbia,Vic Shimizu,Cody Tanaka,Trevor Bakken,Mark Yodogawa,"Richmond CC , Richmond"
Manitoba,Andrew Wickman,Jeff Tarko,Brent Baschuk,Cameron Barth,"Fort Rouge CC , Winnipeg"
New Brunswick,Trevor Hanson,Chris Jenkins,Jeff Rankin,Chris Cogswell,"Gage CC , Oromocto"
Newfoundland and Labrador,Lorne Henderson,Neil Power,Scott Henderson,Dave Dawe,"Re/Max Centre , St. John 's"
Northern Ontario,Gary Weiss,Deron Surkan,Aaron Rogalski,Mark Beazley,"Port Arthur CC , Thunder Bay"
Northwest Territories,Shadrach McLeod,Steve Robertson,Devon Bouillon,Rob Koehler,"Yellowknife CC , Yellowknife"
Nova Scotia,Kurt Roach,Mark MacNamara,Travis Stone,Robin Nathanson,"Sydney CC , Sydney"
Nunavut,Alex Larabie,George Mackay,Jeff Chown,Justin McDonell,"Iqaluit CC , Iqaluit"
Ontario,Matthew Dupuis,Terry Litchy,John King,Charles Wert,"Cornwall CC ( ON ) , Cornwall"
Prince Edward Island,Jamie Newson,Corey Miller,Patrick Ramsey,Adam Arsenault,"Silver Fox CC , Summerside"
Quebec,Patrick Martin,Patrick Duchesneau,Matthew Sigouin,Stephane Roy,"CC Laviolette , Trois-Rivières"
Saskatchewan,Kory Kohuch,David Kraichy,David Schmirler,Wes Lang,"Nutana CC , Saskatoon"
Yukon,Jim Sias,Lee Malanchuk,Brad Wilson,Greg Thom,"Whitehorse CC , Whitehorse"
