Team,Home city,Manager,2018 result
América Mineiro,Belo Horizonte,Givanildo Oliveira,3rd
Atlético Mineiro,Belo Horizonte,Levir Culpi,2nd
Boa Esporte,Varginha,Tuca Guimarães,7th
Caldense,Poços de Caldas,Mauro Fernandes,9th
Cruzeiro,Belo Horizonte,Mano Menezes,1st
Guarani,Divinópolis,Gian Rodrigues,1st ( Módulo II )
Patrocinense,Patrocínio,Rodrigo Fonseca,8th
Tombense,Tombos,Ricardo Drubscky,5th
Tupi,Juiz de Fora,Beto Sousa,4th
Tupynambás,Juiz de Fora,Paulo Campos,2nd ( Módulo II )
URT,Patos de Minas,Ito Roque,6th
Villa Nova,Nova Lima,Eugênio Souza,10th
