Team,Location,Stadium,2017 season
Augnablik,Kópavogur,Fagrilundur,"4. deild karla , 2nd"
Dalvík/Reynir,Dalvík,Dalvíkurvöllur,8th
Einherji,Vopnafjörður,Vopnafjarðarvöllur,6th
KH,Reykjavík ( Hlíðar ),Valsvöllur,"4. deild karla , 1st"
KF,Fjallabyggð ( Ólafsfjörður ),Ólafsfjarðarvöllur,5th
KFG,Garðabær,Samsung völlurinn,3rd
KV,Reykjavík ( Vesturbær ),KR-völlur,"2. deild karla , 11th"
Sindri,Höfn,Sindravellir,"2. deild karla , 12th"
Vængir Júpiters,Reykjavík ( Grafarvogur ),Egilshöll,4th
Ægir,Þorlákshöfn,Þorlákshafnarvöllur,7th
