Nation,Time,Athlete,Date,Location
Qatar,7:53.63,Saif Saaeed Shaheen,3 September 2004,Brussels
Kenya,7:53.64,Brimin Kipruto,22 July 2011,Monaco
Morocco,7:55.28,Brahim Boulami,24 August 2001,Brussels
France,8:00.09,Mahiedine Mekhissi Benabbad,6 July 2013,Saint-Denis
United States,8:00.45,Evan Jager,4 July 2015,Saint-Denis
Uganda,8:03.81,Benjamin Kiplagat,8 July 2010,Lausanne
Netherlands,8:04.95,Simon Vroemen,26 August 2005,Brussels
Spain,8:05.69,Fernando Carro Morillo,12 July 2019,Monaco
Sweden,8:05.75,Mustafa Mohamed,28 July 2007,Heusden
Bahrain,8:06.13,Tareq Mubarak Taher,13 July 2009,Athens
Ethiopia,8:06.16,Roba Gari,11 May 2012,Doha
United Kingdom,8:07.96,Mark Rowland,30 September 1988,Seoul
Saudi Arabia,8:08.14,Sa'ad Shaddad Al-Asmari,2002-07-16,Stockholm
Italy,8:08.57,Francesco Panetta,1989-09-05,Rome
Poland,8:09.11,Bronisław Malinowski,1976-07-28,Montreal
Germany,8:09.48,Damian Kallabis,1999-08-11,Zürich
Belgium,8:10.01,William Van Dijck,1986-09-05,Brussels
Algeria,8:10.23,Laid Bessou,2000-08-18,Monaco
China,8:10.46,Sun Ripeng,1997-10-19,Shanghai
Finland,8:10.67,Jukka Keskisalo,2009-08-28,Zurich
