Date,Winner,Runner-up,Result,Site,Attendance
"February 11 , 1978",# 2 Maryland,# 1 NC State,89-82,"University Hall , Charlottesville , Virginia","1,500"
"February 10 , 1979",# 1 Maryland,# 2 NC State,75-73,"Reynolds Coliseum , Raleigh , North Carolina","3,500"
"February 10 , 1980",# 1 NC State,# 2 Maryland,85-75,"Cole Field House , College Park , Maryland",N/A
"February 14 , 1981",# 3 Maryland,# 4 NC State,64-63,"Littlejohn Coliseum , Clemson , South Carolina",300
"February 28 , 1982",# 3 Maryland,# 4 Clemson,93-81,"Reynolds Coliseum , Raleigh , North Carolina",500
"March 6 , 1983",# 3 Maryland,# 1 NC State,84-81,"Civic Center , Fayetteville , North Carolina","2,134"
"March 4 , 1984",# 5 North Carolina,# 3 NC State,99-76,"Civic Center , Fayetteville , North Carolina","3,733"
"March 3 , 1985",# 1 NC State,# 2 North Carolina,81-80,"Civic Center , Fayetteville , North Carolina","3,907"
"March 3 , 1986",# 5 Maryland,# 2 North Carolina,92-74,"Civic Center , Fayetteville , North Carolina","2,632"
"March 2 , 1987",# 2 NC State,# 1 Virginia,57-56,"Civic Center , Fayetteville , North Carolina","2,987"
"March 7 , 1988",# 2 Maryland,# 1 Virginia,76-70,"Civic Center , Fayetteville , North Carolina","1,223"
"March 6 , 1989",# 1 Maryland,# 2 NC State,73-57,"Civic Center , Fayetteville , North Carolina","2,975"
"March 5 , 1990",# 2 Virginia,# 1 NC State,67-64,"Civic Center , Fayetteville , North Carolina","2,765"
"March 4 , 1991",# 3 NC State,# 4 Clemson,84-61,"Civic Center , Fayetteville , North Carolina","4,102"
"March 9 , 1992",# 1 Virginia,# 7 Georgia Tech,70-69,"Winthrop Coliseum , Rock Hill , South Carolina","4,154"
"March 8 , 1993",# 1 Virginia,# 2 Maryland,106-103,"Winthrop Coliseum , Rock Hill , South Carolina","3,716"
"March 7 , 1994",# 2 North Carolina,# 1 Virginia,77-60,"Winthrop Coliseum , Rock Hill , South Carolina","4,386"
"March 5 , 1995",# 2 North Carolina,# 4 Duke,95-70,"Winthrop Coliseum , Rock Hill , South Carolina","5,724"
"March 3 , 1996",# 4 Clemson,# 2 Duke,71-54,"Winthrop Coliseum , Rock Hill , South Carolina","5,067"
"March 2 , 1997",# 1 North Carolina,# 6 Clemson,62-58,"Independence Arena , Charlotte , North Carolina","5,543"
