Player,For,Against,Result,Date
Rodriguinho,Al-Sadd,Pro 's Cafe,8 - 6,2010-03-04
Khaled Takaji,Pro 's Cafe,Al-Sadd,6 - 8,2010-03-04
Zahir Kamyab,Al-Sadd,NSW Thunder,11 - 3,2010-03-05
Vahid Shamsaei,Foolad Mahan,AUB-Altyn-Tash,8 - 1,2010-03-05
Kaoru Morioka,Nagoya Oceans,AUB-Altyn-Tash,8 - 3,2010-03-06
Zahir Kamyab,Al-Sadd,Thai Port,16 - 2,2010-03-06
Zahir Kamyab,Al-Sadd,Wuhan Dilong,6 - 11,2010-03-08
Li Xin,Wuhan Dilong,Al-Sadd,11 - 6,2010-03-08
Zhang Xi,Wuhan Dilong,Al-Sadd,11 - 6,2010-03-08
Ukrit Taengtung,Thai Port,NSW Thunder,6 - 5,2010-03-08
Vahid Shamsaei,Foolad Mahan,Stroitel Zarafshan,12 - 1,2010-03-08
Ulid Rossanakarn,Thai Port,Wuhan Dilong,9 - 5,2010-03-09
Nattawut Madyalan,Thai Port,Wuhan Dilong,9 - 5,2010-03-09
Farruh Zakirov,Stroitel Zarafshan,AUB-Altyn-Tash,4 - 5,2010-03-09
Vahid Shamsaei,Foolad Mahan,Thai Port,5 - 3,2010-03-11
Hashim Khalid,Al-Karkh,Al-Rayyan,5 - 6,2011-06-26
Rafael Sakai,Nagoya Oceans,Al-Rayyan,8 - 3,2011-06-28
Ali Asghar Hassanzadeh,Al-Rayyan,Nagoya Oceans,3 - 8,2011-06-28
Dilshod Irsaliev,Ardus Tashkent,GH Bank RBAC,9 - 2,2012-07-03
Ahmad Esmaeilpour,Giti Pasand,Yarmouk,5 - 1,2012-07-03
