Club,Winners,Runners-up,Winning seasons
JS Kabylie,14,11,"1972-73 , 1973-74 , 1976-77 , 1979-80 , 1981-82 , 1982-83 , 1984-85 , 1985-86 , 1988-89 , 1989-90 , 1994-95 , 2003-04 , 2005-06 , 2007-08"
USM Alger,8,4,"1962-63 , 1995-96 , 2001-02 , 2002-03 , 2004-05 , 2013-14 , 2015-16 , 2018-19"
ES Sétif,8,3,"1967-68 , 1986-87 , 2006-07 , 2008-09 , 2011-12 , 2012-13 , 2014-15 , 2016-17"
MC Alger,7,3,"1971-72 , 1974-75 , 1975-76 , 1977-78 , 1978-79 , 1998-99 , 2009-10"
CR Belouizdad,6,4,"1964-65 , 1965-66 , 1968-69 , 1969-70 , 1999-00 , 2000-01"
MC Oran,4,9,"1970-71 , 1987-88 , 1991-92 , 1992-93"
CS Constantine,2,1,"1996-97 , 2017-18"
NA Hussein Dey,1,5,1966-67
USM El Harrach,1,3,1997-98
RC Kouba,1,1,1980-81
MO Constantine,1,1,1990-91
Hamra Annaba,1,0,1963-64
GC Mascara,1,0,1983-84
US Chaouia,1,0,1994-95
ASO Chlef,1,0,2010-11
