Year,Competition,Venue,Position,Notes
2001,Milan Marathon,"Milan , Italy",1st,Marathon
2001,Enschede Marathon,"Enschede , Netherlands",3rd,Marathon
2002,Rock ' n ' Roll San Diego Marathon,"San Diego , California , U.S",1st,Marathon
2002,Milan Marathon,"Milan , Italy",2nd,Marathon
2003,Prague Marathon,"Prague , Czech Republic",2nd,Marathon
2003,Nairobi Marathon,"Nairobi , Kenya",1st,Marathon
2004,Hamburg Marathon,"Hamburg , Germany",2nd,Marathon
2005,Florence Marathon,"Florence , Italy",1st,Marathon
2006,Rock ' n ' Roll San Diego Marathon,"San Diego , California , U.S",1st,Marathon
2006,Rock ' n ' Roll Virginia Beach Half Marathon,"Virginia Beach , VA , U.S",2nd,Half Marathon
2007,Boston Marathon,"Boston , U.S",8th,Marathon
2008,Rotterdam Marathon,"Rotterdam , the Netherlands",4th,Marathon
2009,Nairobi Marathon,"Nairobi , Kenya",2nd,Marathon
