Year,Title,Role
1995,Live Nude Girls,Young Jill
1995,Rebellious,Deb
1997,Johnny Mysto : Boy Wizard,Sprout
2002,The Ring,Katie Embry
2002,Ten Minutes Older : The Trumpet,Kate
2005,The Sisterhood of the Traveling Pants,Tibby Rollins
2006,Stephanie Daley,Stephanie Daley
2006,The Grudge 2,Aubrey Davis
2007,Spiral,Amber
2007,Normal Adolescent Behavior,Wendy Bergman
2008,One Fast Move or I 'm Gone : Kerouac 's Big Sur,Herself
2008,Blackout,Claudia
2008,The Sisterhood of the Traveling Pants 2,Tibby Rollins
2009,Spring Breakdown,Ashley
2009,Beyond a Reasonable Doubt,Ella Crystal
2010,127 Hours,Megan McBride
2010,Main Street,Mary Saunders
2012,Django Unchained,Daughter of a son of a gunfighter
2014,X/Y,Stacey
2014,3 Nights in the Desert,Anna
