Year,Serial,Role,Channel
1996,Swabhimaan,Yuvraj,DD National
1998,Woh,Sanjeev,Zee TV
1999,Saturday Suspense,Various characters,Zee Tv
2002,Kalash,Bulbul 's boyfriend,Star Plus
,Kittie Party,Pixie 's first husband,Zee TV
,Virasaat,,Sahara One
2004,Dekho Magar Pyaar Se,K.K,STAR Plus
2005-2006,Woh Rehne Waali Mehlon Ki,Punit,Sahara One
2007,Durgesh Nandinii,Negative role,Sony Entertainment
2007,Jauhar,,STAR One
2010,CID ( Episode 631 - Kissa Kidnapped Bachche Ka ),Vishwanath,Sony TV
2010-2011,Pyaar Kii Ye Ek Kahaani,Arnab Dobriyal,STAR One
2012,Madhubala - Ek Ishq Ek Junoon,,Colors TV
2011-2013,Ek Hazaaron Mein Meri Behna Hai,Inder Singh Vadhera,STAR Plus
2013-2014,Devon Ke Dev ... Mahadev,Ripunjay/Devodas,Life OK
2019,Leila,,Netflix
2019,Ishq Subhan Allah,Shahbaz Ahmed,Zee TV
