City,Winners,Runners-up,Winning clubs,Runners-up
Jeddah,2,2,Al-Ittihad ( 2 ),"Al-Ittihad ( 1 ) , Al-Ahli ( 1 )"
Jeonju,2,1,Jeonbuk Hyundai Motors ( 2 ),Jeonbuk Hyundai Motors ( 1 )
Saitama,2,1,Urawa Red Diamonds ( 2 ),Urawa Red Diamonds ( 1 )
Guangzhou,2,0,Guangzhou Evergrande Taobao ( 2 ),-
Al Ain,1,2,Al-Ain ( 1 ),Al-Ain ( 2 )
Riyadh,1,2,Al-Hilal ( 1 ),Al-Hilal ( 2 )
Seongnam,1,1,Seongnam FC ( 1 ),Seongnam FC ( 1 )
Osaka,1,0,Gamba Osaka ( 1 ),-
Pohang,1,0,Pohang Steelers ( 1 ),-
Doha,1,0,Al-Sadd ( 1 ),-
Ulsan,1,0,Ulsan Hyundai ( 1 ),-
Sydney,1,0,Western Sydney Wanderers ( 1 ),-
Kashima,1,0,Kashima Antlers ( 1 ),-
Isfahan,0,2,-,"Sepahan ( 1 ) , Zob Ahan ( 1 )"
Bangkok,0,1,-,BEC Tero Sasana ( 1 )
Homs,0,1,-,Al-Karamah ( 1 )
Adelaide,0,1,-,Adelaide United ( 1 )
Seoul,0,1,-,FC Seoul ( 1 )
Dubai,0,1,-,Shabab Al-Ahli ( 1 )
Tehran,0,1,-,Persepolis ( 1 )
