Dance,Best dancer,Best score,Worst dancer,Worst score
Boogie Woogie,Kaspar Capparoni,44,Barbara Capponi,27
Cha Cha Cha,Kaspar Capparoni,45,Paolo Rossi,21
Charleston,Kaspar Capparoni,43,Giuseppe Povia,26
Colombian Salsa,Bruno Cabrerizio,37,Bruno Cabrerizio,37
Jive,Bruno Cabrerizio,48,Alessia Filippi,19
Merengue,Gedeon Burkhard,36,Paolo Rossi,25
Paso Doble,Christian Panucci,38,Gedeon Burkhard,0
Quickstep,Kaspar Capparoni,44,Alessandro Di Pietro,9
Rumba,Vittoria Belvedere,45,Bruno Cabrerizio,26
Salsa,Sara Santostasi,48,Giuseppe Povia,16
Samba,Gedeon Burkhard,39,Giuseppe Povia,20
Tango,Sara Santostasi,40,Gedeon Burkhard,27
Waltz,Vittoria Belvedere,50,Bruno Cabrerizio,25
