Season,Winner,Runner-up,Third
1997,Viktor Maigourov ( RUS ),Sergei Tarasov ( RUS ),Ole Einar Bjørndalen ( NOR )
1998,Vladimir Drachev ( RUS ),Ole Einar Bjørndalen ( NOR ),Raphaël Poirée ( FRA )
1999,Ricco Groß ( GER ),Frank Luck ( GER ),Sven Fischer ( GER )
2000,Frank Luck ( GER ),Pavel Rostovtsev ( RUS ),Raphaël Poirée ( FRA )
2001,Pavel Rostovtsev ( RUS ),Raphaël Poirée ( FRA ),Sven Fischer ( GER )
2003,Ricco Groß ( GER ),Halvard Hanevold ( NOR ),Paavo Puurunen ( FIN )
2004,Ricco Groß ( GER ),Raphaël Poirée ( FRA ),Ole Einar Bjørndalen ( NOR )
2005,Ole Einar Bjørndalen ( NOR ),Sergei Tchepikov ( RUS ),Sven Fischer ( GER )
2007,Ole Einar Bjørndalen ( NOR ),Maxim Tchoudov ( RUS ),Vincent Defrasne ( FRA )
2008,Ole Einar Bjørndalen ( NOR ),Maxim Tchoudov ( RUS ),Alexander Wolf ( GER )
2009,Ole Einar Bjørndalen ( NOR ) ( 4 ),Maxim Tchoudov ( RUS ),Alexander Os ( NOR )
2011,Martin Fourcade ( FRA ),Emil Hegle Svendsen ( NOR ),Tarjei Bø ( NOR )
2012,Martin Fourcade ( FRA ),Carl Johan Bergman ( SWE ),Anton Shipulin ( RUS )
2013,Emil Hegle Svendsen ( NOR ),Martin Fourcade ( FRA ),Anton Shipulin ( RUS )
2015,Erik Lesser ( GER ),Anton Shipulin ( RUS ),Tarjei Bø ( NOR )
2016,Martin Fourcade ( FRA ),Ole Einar Bjørndalen ( NOR ),Emil Hegle Svendsen ( NOR )
2017,Martin Fourcade ( FRA ) ( 4 ),Johannes Thingnes Bø ( NOR ),Ole Einar Bjørndalen ( NOR )
2019,Dmytro Pidruchnyi ( UKR ),Johannes Thingnes Bø ( NOR ),Quentin Fillon Maillet ( FRA )
