Weight class :,Champion :,Reign began :
Flyweight,Vacant,N/A
Super-flyweight,Vacant,N/A
Bantamweight,Vacant,N/A
Super-bantamweight,Vacant,N/A
Featherweight,Vacant,N/A
Super-featherweight,James Tennyson,27 April 2013
Lightweight,Gary Cully,1 February 2020
Light-welterweight,Vacant,N/A
Welterweight,Peter McDonagh,6 November 2015
Super-welterweight,Paul Upton,23 April 2016
Middleweight,Vacant,N/A
Super-middleweight,JJ McDonagh,25 February 2012
Light-heavyweight,Paddy McDonagh,21 January 2012
Cruiserweight,Vacant,N/A
Heavyweight,Vacant,N/A
