,Landmark name,Location,City or town
47,Anza Expedition Camp,Banks of San Mateo Camp,San Mateo
48,Anza Expedition Camp,El Camino Real and Ralston,Burlingame
19,Broderick-Terry Dueling Place,1100 Lake Merced Blvd . 37°42′29″N 122°29′03″W / 37.708167°N 122.484167°W / 37.708167 ; -122.484167 ( Broderick-Terry Dueling Place ),Daly City
846,Burlingame Station,290 California Dr. 37°34′48″N 122°20′42″W / 37.58°N 122.345°W / 37.58 ; -122.345 ( Burlingame Station ),Burlingame
939,Capidro,262 Princeton Rd,Menlo Park
886,Carolands,565 Remillard Rd . 37°33′20″N 122°22′15″W / 37.5555°N 122.37075°W / 37.5555 ; -122.37075 ( Carolands ),Hillsborough
825,Casa de Tableta,3915 Alpine Rd . 37°22′56″N 122°11′37″W / 37.382222°N 122.193611°W / 37.382222 ; -122.193611 ( Casa de Tableta ),Portola Valley
907,Filoli,"Filoli Center , Canada Rd . 37°28′13″N 122°18′39″W / 37.4704°N 122.310703°W / 37.4704 ; -122.310703 ( Filoli )",Woodside
949,First Congregational Church of Pescadero,San Gregorio St. 37°15′16″N 122°23′00″W / 37.25455°N 122.383333°W / 37.25455 ; -122.383333 ( First Congregational Church of Pescadero ),Pescadero
955,Menlo Park Station,1120 Merrill St. 37°27′17″N 122°10′51″W / 37.454722°N 122.180833°W / 37.454722 ; -122.180833 ( Menlo Park Station ),Menlo Park
393,Mission Hospice,Baywood and El Camino Real 37°33′55″N 122°19′41″W / 37.565383°N 122.328067°W / 37.565383 ; -122.328067 ( Mission Hospice ),San Mateo
343,Old Store at La Honda,"Northwest corner , La Honda Road and Sears Ranch Road",La Honda
909,Our Lady of the Wayside Church,930 Portola Rd . 37°23′02″N 122°14′02″W / 37.3839°N 122.2338°W / 37.3839 ; -122.2338 ( Our Lady of the Wayside Church ),Portola Valley
930,Pigeon Point Lighthouse,37°10′54″N 122°23′38″W / 37.181667°N 122.393889°W / 37.181667 ; -122.393889 ( Pigeon Point Lighthouse ),Davenport
22,Portolá Expedition Camp,Mouth of Purisima Creek,Half Moon Bay
23,Portolá Expedition Camp,Mouth of Gazos Creek,Pescadero
24,Portolá Expedition Camp,Mouth of San Pedro Creek,Pacifica
25,Portolá Expedition Camp,Foot of Montara Mountain,Montara
26,Portolá Expedition Camp,San Gregorio State Beach 37°19′23″N 122°24′07″W / 37.323056°N 122.401944°W / 37.323056 ; -122.401944 ( Portolá Expedition Camp ),San Gregorio
27,Portolá Expedition Camp,San Andreas Lake,Millbrae
