District,Representative,Party,Residence
1,Susan Lontine,Democratic,Denver
2,Alec Garnett,Democratic,Denver
3,Meg Froelich,Democratic,Greenwood Village
4,Serena Gonzales-Gutierrez,Democratic,Denver
5,Alex Valdez,Democratic,Denver
6,Chris Hansen,Democratic,Denver
7,James Coleman,Democratic,Denver
8,Leslie Herod,Democratic,Denver
9,Emily Sirota,Democratic,Denver
10,Edie Hooton,Democratic,Boulder
11,Jonathan Singer,Democratic,Longmont
12,Sonya Jaquez Lewis,Democratic,Lafayette
13,KC Becker,Democratic,Boulder
14,Shane Sandridge,Republican,Colorado Springs
15,Dave Williams,Republican,Colorado Springs
16,Larry Liston,Republican,Colorado Springs
17,Tony Exum,Democratic,Colorado Springs
18,Marc Snyder,Democratic,Colorado Springs
19,Tim Geitner,Republican,Monument
20,Terri Carver,Republican,Colorado Springs
