Parish,LGA,Towns
Beerwah,Sunshine Coast,"Beerwah , Beerburrum"
Bowman,Somerset,"Somerset Dam , Hazeldean"
Bribie,Sunshine Coast,"Caloundra , Landsborough"
Canning,Moreton Bay,"Caboolture , Elimbah"
Cressbrook,Somerset,
Durundur,Moreton Bay,Woodford
Kilcoy,Somerset,Kilcoy
Maroochy,Sunshine Coast,"Nambour , Eumundi , Coolum"
Monsildale,Somerset,
Mooloolah,Sunshine Coast,"Maroochydore , Eudlo , Sippy Downs"
Neara,Somerset,
Toorbul,Moreton Bay,"Toorbul , Ningi"
Wararba,Moreton Bay,Wamuran
Woorim,Moreton Bay,Bribie Island
