Rank,Club,Revenue ( € million ),Country
1,Real Madrid,351.0,Spain
2,Manchester United,315.2,England
3,Barcelona,290.1,Spain
4,Chelsea,283.0,England
5,Arsenal,263.9,England
6,A.C. Milan,227.2,Italy
7,Bayern Munich,223.3,Germany
8,Liverpool,198.9,England
9,Internazionale,195.0,Italy
10,Roma,157.6,Italy
11,Tottenham Hotspur,153.1,England
12,Juventus,145.2,Italy
13,Lyon,140.6,France
14,Newcastle United,129.4,England
15,Hamburger SV,120.4,Germany
16,Schalke 04,114.3,Germany
17,Celtic,111.8,Scotland
18,Valencia,107.6,Spain
19,Marseille,99.0,France
20,Werder Bremen,97.3,Germany
