Rank,Rider,Team,Time
1,Chris Froome ( GBR ),Team Sky,84h 46 ' 14
2,Nairo Quintana ( COL ),Movistar Team,+ 1 ' 12
3,Alejandro Valverde ( ESP ),Movistar Team,+ 5 ' 25
4,Vincenzo Nibali ( ITA ),Astana,+ 8 ' 36
5,Alberto Contador ( ESP ),Tinkoff-Saxo,+ 9 ' 48
6,Robert Gesink ( NED ),LottoNL-Jumbo,+ 10 ' 47
7,Bauke Mollema ( NED ),Trek Factory Racing,+ 15 ' 14
8,Mathias Frank ( SUI ),IAM Cycling,+ 15 ' 39
9,Romain Bardet ( FRA ),AG2R La Mondiale,+ 16 ' 00
10,Pierre Rolland ( FRA ),Team Europcar,+ 17 ' 30
