Genus,Status,Age,Location,Description
Acherontisuchus,Valid,Paleocene,Colombia,"A large-bodied , long-snouted freshwater dyrosaurid from the Cerrejón Formation"
Anthracosuchus,Valid,Paleocene,Colombia,A short-snouted freshwater dyrosaurid from the Cerrejón Formation
Arambourgisuchus,Valid,Paleocene,Morocco,A long-snouted marine dyrosaurid
Atlantosuchus,Valid,Paleocene,Morocco,A long-snouted marine dyrosaurid with the longest snout length in proportion to body size of any dyrosaurid
Cerrejonisuchus,Valid,Paleocene,Colombia,"A small-bodied , short-snouted freshwater dyrosaurid from the Cerrejón Formation"
Chenanisuchus,Valid,Maastrichtian - Paleocene,Mali Morocco,The genus spans the K-Pg boundary
Congosaurus,Valid,Paleocene,Angola,
Dyrosaurus,Valid,Eocene,Algeria Tunisia,"A large-bodied , long-snouted marine dyrosaurid"
Fortignathus,Valid,Albian - Cenomanian,Niger,A dyrosaurid from the Echkar Formation
Guarinisuchus,Valid,Paleocene,Brazil,A marine dyrosaurid
Hyposaurus,Valid,Maastrichtian - Paleocene,Brazil Mali Nigeria US,"Five species have been named , the most of any dyrosaurid genus ; the genus spans the K-Pg boundary"
Phosphatosaurus,Valid,Eocene,Mali Tunisia,"A large-bodied , long-snouted marine dyrosaurid with blunt teeth and a spoon-shaped snout tip"
Rhabdognathus,Valid,Maastrichtian - Paleogene,Mali Nigeria,"A large-bodied , long-snouted marine dyrosaurid ; the genus spans the K-Pg boundary"
Sabinosuchus,Valid,Maastrichtian,Mexico,A dyrosaurid from the Escondido Formation
Sokotosaurus,Junior synonym,,,Junior synonym of Hyposaurus
Sokotosuchus,Valid,Maastrichtian,Nigeria,A long-snouted marine dyrosaurid
Tilemsisuchus,Valid,Eocene,Mali,
