State,Status,Since ( signing of convention ),Funding contribution 2013,"Representative organization from national meteorological services ( official national names , links point to names for official use in English )",Official web site
Germany,Member,1986/03,19.20%,Deutscher Wetterdienst ( DWD ),www.dwd.de
United Kingdom,Member,1985/05,15.62%,Met Office,www.metoffice.gov.uk
France,Member,1985/02,14.70%,Météo-France,www.meteo.fr
Italy,Member,1986/06,12.04%,Ufficio Generale Spazio Aereo e Meteorologia ( USAM ) - Reparto Meteorologia,www.meteoam.it/
Spain,Member,1985/02,7.56%,"Agencia Estatal de Meteorología ( AEMET ) , Ministerio de Agricultura , Alimentación y Medio Ambiente",www.aemet.es
Netherlands,Member,1984/03,4.38%,Koninklijk Nederlands Meteorologisch Instituut ( KNMI ),www.knmi.nl
Switzerland,Member,1985/07,2.75%,MeteoSchweiz / MétéoSuisse / MeteoSvizzera,www.meteoschweiz.ch
Belgium,Member,1985/10,2.57%,Institut Royal Météorologique de Belgique ( IRM ) / Koninklijk Meteorologisch Instituut van België ( KMI ),www.kmi.be
Sweden,Member,1984/01,2.53%,Sveriges meteorologiska och hydrologiska institut ( SMHI ),www.smhi.se
Turkey,Member,1984/08,2.27%,"Remote Sensing Division , Devlet Meteoroloji İşleri Genel Müdürlüğü ( DMİGM )",www.meteor.gov.tr
Austria,Member,1993/12,2.05%,Zentralanstalt für Meteorologie und Geodynamik ( ZAMG ),www.zamg.ac.at
Norway,Member,1985/04,2.03%,Meteorologisk institutt ( met.no ),www.met.no
Poland,Member,2009/06,1.95%,Instytut Meteorologii i Gospodarki Wodnej ( IMGW ),www.imgw.pl
Denmark,Member,1984/01,1.78%,Danmarks Meteorologiske Institut ( DMI ),www.dmi.dk
Greece,Member,1988/06,1.65%,Εθνική Μετεωρολογική Υπηρεσία ( HNMS ),www.hnms.gr
Finland,Member,1984/12,1.35%,Ilmatieteen laitos / Meteorologiska institutet ( FMI ),www.fmi.fi
Portugal,Member,1989/05,1.23%,Instituto de Meteorologia ( IM ),www.meteo.pt
Ireland,Member,1985/06,1.17%,Met Éireann,www.met.ie
Czech Republic,Member,2010/05/12,0.80%,"Český hydrometeorologický ústav ( CHMI ) , Družicové Oddělení",www.chmi.cz
Hungary,Member,2008/10,0.69%,Országos Meteorológiai Szolgálat ( OMSZ ),www.met.hu
