Code,Name ( s ),Purpose,Status
E200,Sorbic acid,preservative,Approved in the EU
E201,Sodium sorbate,preservative,
E202,Potassium sorbate,preservative,Approved in the EU
E203,Calcium sorbate,preservative,Approved in the EU
E209,Heptyl p-hydroxybenzoate,preservative,
E210,Benzoic acid,preservative,Approved in the EU
E211,Sodium benzoate,preservative,Approved in the EU
E212,Potassium benzoate,preservative,Approved in the EU
E213,Calcium benzoate,preservative,Approved in the EU
E214,Ethylparaben ( ethyl para-hydroxybenzoate ),preservative,Approved in the EU
E215,Sodium ethyl para-hydroxybenzoate,preservative,Approved in the EU
E216,Propylparaben ( propyl para-hydroxybenzoate ),preservative,
E217,Sodium propyl para-hydroxybenzoate,preservative,
E218,Methylparaben ( methyl para-hydroxybenzoate ),preservative,Approved in the EU
E219,Sodium methyl para-hydroxybenzoate,preservative,Approved in the EU
E220,Sulfur dioxide,preservative,Approved in the EU
E221,Sodium sulfite,preservative,Approved in the EU
E222,Sodium bisulfite ( sodium hydrogen sulfite ),preservative,Approved in the EU
E223,Sodium metabisulfite,preservative,Approved in the EU
E224,Potassium metabisulfite,preservative,Approved in the EU
