Year,Venue,City,Presenter ( s )
1992,Flora,Cologne,Kristiane Backer
1993,Wintergarten,Berlin,Susann Pingel
1994,Alte Oper,Frankfurt,Fritz Egner
1995,Bavaria Film- und Fernsehstudios,Munich,Reinhold Beckmann
1996,Congress Center Hamburg,Hamburg,Thomas Ohrner
1997,Congress Center Hamburg,Hamburg,Axel Bulthaupt
1998,Congress Center Hamburg,Hamburg,Axel Bulthaupt
1999,Congress Center Hamburg,Hamburg,Kim Fisher
2000,Congress Center Hamburg,Hamburg,Kim Fisher
2001,ICC Berlin,Berlin,Frauke Ludowig
2002,ICC Berlin,Berlin,Frauke Ludowig
2003,ICC Berlin,Berlin,"Frauke Ludowig , Oliver Geissen"
2004,ICC Berlin,Berlin,Oliver Geissen
2005,Estrel Convention Center,Berlin,"Yvonne Catterfeld , Oliver Geissen"
2006,Estrel Convention Center,Berlin,"Michelle Hunziker , Oliver Geissen"
2007,Palais am Berliner Funkturm,Berlin,"Yvonne Catterfeld , Oliver Geissen"
2008,ICC Berlin,Berlin,"Nazan Eckes , Oliver Geissen"
2009,O2 World,Berlin,"Barbara Schöneberger , Oliver Pocher"
2010,Palais am Berliner Funkturm,Berlin,"Sabine Heinrich , Matthias Opdenhövel"
2011,Palais am Berliner Funkturm,Berlin,"Ina Müller , Joko Winterscheidt"
