Year,Title,Role
1980,Cruising,Detective Schreiber
1980,The Dogs of War,Terry
1989,Disorganized Crime,George Denver
1989,K-9,Sergeant Brannigan
1990,The Adventures of Ford Fairlane,Lieutenant Amos
1990,Sibling Rivalry,Wilbur Meany
1991,Dutch,Dutch Dooley
1992,Wayne 's World,Glen
1993,Wayne 's World 2,Glen
1994,Blue Chips,Ed
1994,Little Giants,Kevin O'Shea
1997,Prefontaine,Bill Dellinger
1997,The Spanish Prisoner,FBI Team Leader
1999,The Bone Collector,Detective Paulie Sellitto
2000,Lucky Numbers,Dick Simmons
2001,Nobody 's Baby,Norman Pinkney
2004,Spartan,Burch
2005,Steel Valley,Congressman Cardone
2008,Redbelt,Hollywood Producer
2010,Lost Masterpieces of Pornography,Chief Justice Renato Corona
