Sign,Name,Date,Content,Institution
α ',Complutensian Polyglot,16th,New Testament,University of Alcala
β ',Codex Bezae,5th,"Gospels , Acts",University of Cambridge
γ ',Minuscule 4,13th,Gospels,National Library of France
δ ',Minuscule 5,13th,New Testament ( except Rev ),National Library of France
ε ',Minuscule 6,13th,New Testament ( except Rev ),National Library of France
ϛ ',Minuscule 2817,12th,Pauline epistles,University of Basel
ζ ',Minuscule 8,11th,Gospels,National Library of France
η ',Codex Regius,8th,Gospels,National Library of France
θ ',Minuscule 38,12th,New Testament ( except Rev ),National Library of France
ι ',Minuscule 2298 ?,11th,"Acts , Pauline epistles",National Library of France
ιβ ',Minuscule 9,1167,Gospels,National Library of France
ιγ ',Minuscule 398,,,"University of Cambridge , Kk . 6.4 ( ? )"
