Season,Executive of the Year,Nationality,Team
2004-05,José Antonio Querejeta,Spain,TAU Cerámica
2005-06,Sergey Kushchenko,Russia,CSKA Moscow
2006-07,Juan Manuel Rodríguez,Spain,Unicaja
2007-08,Ferdinando Minucci,Italy,Montepaschi Siena
2008-09,Marco Baldi,Germany,Alba Berlin
2009-10,Przemysław Sęczkowski,Poland,Asseco Prokom Gdynia
2010-11,Pavlos Giannakopoulos and Thanasis Giannakopoulos,Greece,Panathinaikos
2011-12,Panagiotis Angelopoulos and George Angelopoulos,Greece,Olympiacos
2012-13,Tuncay Özilhan,Turkey,Anadolu Efes
2013-14,Livio Proli,Italy,EA7 Emporio Armani Milan
2014-15,Marco Baldi ( 2x ),Germany,Alba Berlin ( 2x )
2015-16,José Antonio Querejeta ( 2x ),Spain,Laboral Kutxa Vitoria-Gasteiz ( 2x )
2016-17,Maurizio Gherardini,Italy,Fenerbahçe
2017-18,Paulius Motiejūnas,Lithuania,Žalgiris
2018-19,Paulius Motiejūnas ( 2x ),Lithuania,Žalgiris ( 2x )
