Year,Winner,Country,Club ( s )
1979,Vladimir Tkachenko,Soviet Union,Stroitel
1980,Dražen Dalipagić ***,Yugoslavia,Partizan
1981,Dragan Kićanović **,Yugoslavia,Partizan and Scavolini Pesaro
1982,Dragan Kićanović ** ( 2 ),Yugoslavia,Scavolini Pesaro
1983,Dino Meneghin ***,Italy,Billy / Simac Milano
1984,Arvydas Sabonis ***,Soviet Union,Žalgiris
1985,Arvydas Sabonis *** ( 2 ),Soviet Union,Žalgiris
1986,Dražen Petrović ***,Yugoslavia,Cibona
1987,Nikos Galis ***,Greece,Aris
1988,Arvydas Sabonis *** ( 3 ),Soviet Union,Žalgiris
1989,Dražen Petrović *** ( 2 ),Yugoslavia,Real Madrid and Portland Trail Blazers
1990,Toni Kukoč **,Yugoslavia,Jugoplastika / Pop 84
1991,Toni Kukoč ** ( 2 ),Yugoslavia Croatia,Pop 84 and Benetton Treviso
1992,Dražen Petrović *** ( 3 ),Croatia,New Jersey Nets
1993,Dražen Petrović *** ( 4 ),Croatia,New Jersey Nets
1994,Toni Kukoč ** ( 3 ),Croatia,Chicago Bulls
1995,Arvydas Sabonis *** ( 4 ),Lithuania,Real Madrid Teka and Portland Trail Blazers
1996,Toni Kukoč ** ( 4 ),Croatia,Chicago Bulls
1997,Arvydas Sabonis *** ( 5 ),Lithuania,Portland Trail Blazers
1998,Toni Kukoč ** ( 5 ),Croatia,Chicago Bulls
