Season,Winner,Runner-up,Third
1983-84,Tom Sandberg,Uwe Dotzauer,Geir Andersen
1984-85,Geir Andersen,Hermann Weinbuch,Hubert Schwarz
1985-86,Hermann Weinbuch,Thomas Müller,Geir Andersen ( 2 )
1986-87,Torbjørn Løkken,Hermann Weinbuch ( 2 ),Hippolyt Kempf
1987-88,Klaus Sulzenbacher,Torbjørn Løkken,Andreas Schaad
1988-89,Trond-Arne Bredesen,Klaus Sulzenbacher,Hippolyt Kempf ( 2 )
1989-90,Klaus Sulzenbacher ( 2 ),Allar Levandi,Knut Tore Apeland
1990-91,Fred Børre Lundberg,Klaus Sulzenbacher,Trond-Einar Elden
1991-92,Fabrice Guy,Klaus Sulzenbacher ( 3 ),Fred Børre Lundberg
1992-93,Kenji Ogiwara,Fred Børre Lundberg,Takanori Kono
1993-94,Kenji Ogiwara,Takanori Kono,Fred Børre Lundberg ( 2 )
1994-95,Kenji Ogiwara ( 3 ),Bjarte Engen Vik,Knut Tore Apeland ( 2 )
1995-96,Knut Tore Apeland,Kenji Ogiwara,Jari Mantila
1996-97,Samppa Lajunen,Jari Mantila,Bjarte Engen Vik
1997-98,Bjarte Engen Vik,Mario Stecher,Felix Gottwald
1998-99,Bjarte Engen Vik ( 2 ),Hannu Manninen,Ladislav Rygl
1999-00,Samppa Lajunen ( 2 ),Bjarte Engen Vik,Ladislav Rygl ( 2 )
2000-01,Felix Gottwald,Ronny Ackermann,Bjarte Engen Vik ( 2 )
2001-02,Ronny Ackermann,Felix Gottwald,Samppa Lajunen
2002-03,Ronny Ackermann ( 2 ),Felix Gottwald,Björn Kircheisen
