Ship,Builder,Launched,Commissioned,Paid off,Fate
Action,"Collingwood Shipyards Ltd. , Collingwood , Ontario",28 July 1942,22 November 1942,6 September 1945,Formerly HMS Comfrey . Transferred to USN on 22 November 1942 . Sold on 6 February 1946
Alacrity,"Collingwood Shipyards Ltd. , Collingwood , Ontario",4 September 1942,10 December 1942,4 October 1945,Formerly HMS Cornel . Transferred to USN on 10 December 1942 . Sold on 22 September 1945 to Italy as mercantile Rio Marina
Beacon,"Collingwood Shipyards Ltd. , Collingwood , Ontario",31 October 1942,,,Transferred on 31 May 1943 to RN as HMS Dittany . Returned to USN on 20 June 1946
Brisk,"Kingston Shipbuilding Co. Ltd. , Kingston , Ontario",15 June 1942,6 December 1942,9 October 1945,Formerly HMS Flax . Transferred to USN on 6 December 1942 . Sold on 18 October 1946
Caprice,"Collingwood Shipyards Ltd. , Collingwood , Ontario",31 October 1942,,,Transferred to RN as HMS Honesty . Returned to USN on 20 June 1946
Clash,"Midland Shipyards Ltd. , Midland , Ontario",18 November 1942,,,Transferred to RN as HMS Linaria . Returned to USN on 27 July 1946
Haste,"Morton Engineering & Dry Dock Co. , Quebec City",22 August 1942,6 April 1943,3 October 1945,Formerly HMS Mandrake . Transferred to USN on 6 April 1943 . Sold in 1949 to Italy as mercantile Porto Azzurro . Scrapped in 1973 at La Spezia
Intensity,"Morton Engineering & Dry Dock Co. , Quebec City",22 August 1942,31 March 1943,3 October 1945,"Formerly HMS Milfoil . Transferred to USN on 31 March 1943 . Sold into mercantile service . 1950 whale catcher Olympic Promoter , 1956 resold and renamed Otori Maru No . 5"
Might,"Morton Engineering & Dry Dock Co. , Quebec City",15 July 1942,22 December 1942,9 October 1945,"Formerly HMS Musk . Transferred to USN on 22 December 1942 . Sold into mercantile service . 1950 whale catcher Olympic Explorer , 1956 resold and renamed Otori Maru No.3 , later Kyo Maru No.12"
Pert,"Morton Engineering & Dry Dock Co. , Quebec City",27 November 1942,23 July 1943,3 October 1945,"Formerly HMS Nepeta . Transferred to USN on 23 July 1943 . Sold on 18 October 1946 into mercantile service . 1950 whale catcher Olympic Leader , 1956 resold and renamed Otori Maru No . 1 , later Kyo Maru No . 15"
Prudent,"Morton Engineering & Dry Dock Co. , Quebec City",4 December 1942,16 August 1943,11 October 1945,Formerly HMS Privet . Transferred to USN on 16 August 1943 . Sold in 1949 to Italy as mercantile Elbano . Resold in 1951 to the Italian Navy as hydrographic survey vessel Staffetta
Splendor,"Kingston Shipbuilding Co. Ltd. , Kingston , Ontario",11 February 1943,,,Transferred to RN as HMS Rosebay . Returned to USN on 20 March 1946
Tact,"Collingwood Shipyards Ltd. , Collingwood , Ontario",24 December 1942,,,Transferred to RN as HMS Smilax . Returned to USN on 5 January 1946
Vim,"Collingwood Shipyards Ltd. , Collingwood , Ontario",10 April 1943,,,Transferred to RN as HMS Statice . Returned to USN on 21 June 1946
Vitality,"Midland Shipyards Ltd. , Midland , Ontario",24 March 1943,,,Transferred to RN as HMS Willowherb . Returned to USN on 11 June 1946
