Month,Year,Nationality,Manager,Team
September,1996.6 1996,England,Colin Todd,Bolton Wanderers
October,1996.7 1996,England,Colin Todd,Bolton Wanderers
January,1997.1 1997,England,Colin Todd,Bolton Wanderers
March,1997.3 1997,England,Colin Todd,Bolton Wanderers
December,1997.9 1997,England,Peter Reid,Sunderland
January,1998.1 1998,Italy,Dario Gradi,Crewe Alexandra
September,1998.6 1998,England,Colin Todd,Bolton Wanderers
October,1998.7 1998,England,John Aldridge,Tranmere Rovers
November,1998.8 1998,England,Gerry Francis,Queens Park Rangers
December,1998.9 1998,England,Paul Jewell,Bradford City
January,1998.1 1999,England,Colin Todd,Bolton Wanderers
February,1999.2 1999,Scotland,George Burley,Ipswich Town
March,1999.3 1999,England,Peter Reid,Sunderland
August,1999.5 1999,Scotland,George Burley,Ipswich Town
September,1999.6 1999,England,Paul Bracewell,Fulham
October,1999.7 1999,England,Joe Royle,Manchester City
