Party,No . of delegates,Delegates,Alternates
Fianna Fáil,9,"Bertie Ahern , Mary O'Rourke , Albert Reynolds , Noel Dempsey , Jim McDaid , Séamus Kirk , Ann Ormonde , Éamon Ó Cuív , Brian Lenihan Snr ( died 1995 )","Charlie McCreevy , Jimmy Leonard , Joe Jacob , Brendan Daly"
SDLP,5,"John Hume , Seamus Mallon , Eddie McGrady , Joe Hendron , Bríd Rodgers","Sean Farren , Denis Haughey , Mark Durkan , John Fee , Alex Attwood"
Fine Gael,6,"John Bruton , Austin Currie , Olivia Mitchell , Andrew Boylan , Paul Bradford , Frances Fitzgerald","John Connor , Helen O'Donnell , Tom Honan"
Labour,5,"Dick Spring , Ruairi Quinn , Brian Fitzgerald , Ann Gallagher , Jan O'Sullivan","Seán Kenny , Seán Malone"
Sinn Féin,3,"Gerry Adams , Pat Doherty , Lucilita Bhreathnach","Martin McGuinness , Dodie McGuinness"
Progressive Democrats,2,"Mary Harney , Des O'Malley","Bobby Molloy , Michael McDowell"
Alliance,3,"John Alderdice , Seamus Close , Seán Neeson","Philip McGarry , Stewart Dickson"
Democratic Left,2,"Proinsias De Rossa , Seamus Lynch",Liz McManus
Green Party,1,Trevor Sargent,Vincent MacDowell
Independent TDs,1,Neil Blaney ( died 1995 ),Tom Foxe
Independent Senators,1,"Joe O'Toole , David Norris , Mary Henry , Feargal Quinn , Joe Lee",( Each nominee served as delegate and alternate in rotation . )
Workers ' Party,1,John Lowry,-
Attended in a personal capacity,1,Gordon Wilson ( died 1995 ),-
