Date,Host,Guests
28 September 1979,Ned Sherrin,"Christopher Reeve , Willie Rushton , John Wells , Arianna Stassinopoulos , Alan Coren , David Halverstone and Linda Lewis"
5 October 1979,Ned Sherrin,"Willie Rushton , John Wells , Arianna Stassinopoulos , Emma Soames , Gerard Kenny , Secret Affair , Ian Page , Jimmy Pursey , Antonia Fraser"
12 October 1979,Harold Wilson,"Harry Secombe , Pat Phoenix , Tony Benn , Freddie Trueman and Sponooch"
19 October 1979,Harold Wilson,"Mike Yarwood , Robin Day , Winston Churchill MP , Mary Wilson , Dean Friedman"
26 October 1979,Alan Brien,"Russell Davies , Harold Evans , Sponooch , Jilly Cooper , Prof. Peter Townsend , Lord Melchett , Peter York , Lynda Hayes , Will Elsworth-Jones , and Jeremy Child , Norman Bird , Ronnie Brody in a sketch"
2 November 1979,Tim Rice,"Tom Stoppard , Bob Willis , George Martin , Elaine Paige and The Searchers"
9 November 1979,Tim Rice,"John Cleese , Michael Palin , Malcolm Muggeridge , Arthur Mervyn Stockwood ( the Bishop of Southwark ) , Norris McWhirter , Paul Jones and The Blues Band"
16 November 1979,Cambridge Footlights,"Martin Bergman , Hugh Laurie , Robert Bathurst , Emma Thompson , Peter Cook"
7 December 1979,Willie Rushton,"Barry Cryer , Peter Glaze , Seid Saeid , Sponooch , Andy Williams , The Alberts"
14 December 1979,Jackie Stewart,"Henry Cooper , James Hunt , Eddie Kidd , Barry Humphries ( as Dame Edna Everage ) , Sponooch"
21 December 1979,Ned Sherrin,"Geoff Greenfield , Arianna Stassinopoulos , John Wells , Willie Rushton , Andrew Boyle , John Bird , Sponooch , Paul Jones and The Blues Band"
