Medal,Name,Sport,Event,Date
Gold,Albert Zürner,Diving,Men 's 3 m springboard,July 18
Gold,"Heinrich Burger , Anna Hübler",Figure skating,Pairs,October 29
Gold,Arno Bieberstein,Swimming,Men 's 100 m backstroke,July 17
Silver,"Hanns Braun , Hans Eicke , Arthur Hoffmann , Otto Trieloff",Athletics,Men 's medley relay,July 25
Silver,"Max Götze , Rudolf Katzer , Hermann Martens , Karl Neumer",Cycling,Men 's team pursuit,July 17
Silver,Kurt Behrens,Diving,Men 's 3 m springboard,July 18
Silver,Elsa Rendschmidt,Figure skating,Ladies ' singles,October 29
Silver,Otto Froitzheim,Tennis,Men 's singles,July 11
Bronze,Hanns Braun,Athletics,Men 's 800 m,July 21
Bronze,Karl Neumer,Cycling,Men 's 660 yd,July 15
Bronze,Gottlob Walz,Diving,Men 's 3 m springboard,July 18
Bronze,Bernhard von Gaza,Rowing,Men 's single sculls,July 31
Bronze,"Willy Düskow , Martin Stahnke",Rowing,Men 's coxless pair,July 31
